site,barcode,sdate,catch
PEKIN LAKE,16012311,06/17/2015,2
GRAND ISLAND,16003530,09/15/1997,1
BATH CHUTE,16010149,09/16/2010,5
LA GRANGETWZ,16002575,09/12/1996,39
TOWHEAD,16012944,10/04/2016,1
BIG LAKE,16012949,10/12/2016,1
MATANZAS,16011923,07/08/2014,1
BATH CHUTE,16005658,08/22/2000,1
LILLY LAKE,16008326,10/13/2005,1
PEORIA TWZ,16001312,08/14/1995,4
MACKINAW R.,16011476,08/06/2013,6
TREADWAY,16012450,08/28/2015,3
TOWHEAD,16013405,09/26/2017,1
BAR ISLAND,16005651,08/21/2000,1
COPPERAS,16008594,10/26/2006,1
,-1600744,09/16/1992,2
,16000848,09/21/1994,5
BATH FIXED,16005779,09/20/2000,4
BATH CHUTE,16006215,08/01/2001,16
COPPERAS,16008104,08/02/2005,13
Peoria TWZ,16011452,07/22/2013,38
BATH CHUTE,16012105,07/23/2015,4
MATANZASLAKE,16006267,08/08/2001,1
PEORIA TWZ,16005509,07/26/2000,2
BATH FIX,16006233,08/02/2001,1
DUCK ISLAND,16011483,08/12/2013,1
,-1600722,09/09/1992,5
MCB S OF SUG,16010261,06/29/2011,1
BELOW BATH C,16009170,10/09/2008,1
TOWHEAD,16009811,10/06/2009,1
BATH FIX,16006654,10/23/2001,2
FREDERICK,16004705,10/28/1998,2
PEORIA TWZ,16005737,09/07/2000,12
ALT FOR D25,16009969,10/07/2010,1
TOWHEAD,16009048,09/26/2007,1
matanzas mc,16007660,06/18/2004,9
RM 102,16012768,10/27/2016,2
BEEBE LAKE,16005986,10/26/2000,2
towhead,16007657,06/18/2004,1
above tnz,16007729,06/28/2004,1
SUGAR CREEK,16009329,08/21/2008,1
PANTHER SL,16012726,10/07/2016,1
,16000947,10/14/1994,15
Bath Chute,16007795,08/03/2004,86
BAR ISLAND,16009973,10/11/2010,1
crystal lake,16007915,09/23/2004,1
BATH CH FIX,16001249,08/04/1995,3
LAGRANGE TWZ,16001309,08/14/1995,2
BATH CHUTE,16013516,07/11/2018,6
UPPER DUCK L,16013857,09/26/2018,1
RM 103.5,16011707,07/28/2014,1
QUIVER LAKE,16002672,10/03/1996,1
LILLY LAKE,16012236,09/30/2015,1
,16000018,06/22/1993,1
TOWHEAD,16009942,09/21/2010,1
BATH CH FIX,16005755,09/14/2000,1
CRANE LK,16005200,10/12/1999,36
BIG LAKE,16012781,06/16/2016,1
CHAIN LAKE,16012133,08/07/2015,1
CRYSTAL LAKE,16007001,09/11/2002,1
BATH FIX,16007171,10/23/2002,1
Peoria TWZ,16009065,06/16/2008,2
CRYSTAL LAKE,16013271,07/20/2017,1
BEARDSTOWN,16001361,08/25/1995,1
PEORIA TWZ,16006823,07/17/2002,1
TREADWAY,16009904,08/09/2010,1
LONG LAKE,16003601,10/01/1997,1
MEYERS DITCH,16005671,08/24/2000,2
RM 97,16012067,09/16/2014,1
134.5,16011497,08/16/2013,2
,16000955,10/17/1994,1
Bath Chute,16007345,08/15/2003,1
LILLY LAKE,16008321,10/11/2005,1
TOWHEAD,16013052,08/14/2017,1
CHAIN LAKE,16008936,09/17/2007,1
TOWHEAD,16011837,10/17/2014,6
QUIVER LAKE,16005739,09/08/2000,3
MATANZAS,16011835,10/16/2014,1
PEORIA TWZ,16003420,09/10/1997,8
,16000812,09/09/1994,1
SPRING LAKE,16006768,07/01/2002,2
,-1600747,09/21/1992,2
Bath Chute,16007345,08/15/2003,1
BATH CHUTE,16005535,07/31/2000,34
DUCK ISLAND,16009016,10/16/2007,1
SNICARTE,16009388,09/22/2008,1
GRAND ISLAND,16008191,09/22/2005,1
GRAPE-BAR,16008219,10/03/2005,1
TOWHEAD ISL,16001947,07/24/1996,14
GRAPE IS,16006281,08/09/2001,20
TREADWAY LKE,16009024,10/09/2007,8
CRYSTAL LAKE,16010831,08/27/2012,37
TREADWAY,16013610,08/30/2018,1
BATH CHUTE,16011794,09/24/2014,1
MATANZAS,16004680,10/19/1998,1
WORLEY LAKE,16008843,08/23/2007,463
QUIVER LAKE,16003409,09/08/1997,3
