site,barcode,sdate,catch
BANNER MC,16005969,10/24/2000,4
MCB AND LAKE,16010352,07/18/2011,29
BATH CHUTE,16010402,08/15/2011,1
MACKINAW MC,16008223,10/04/2005,1
RM 139,16012771,10/14/2016,1
TOWHEAD,16008993,10/03/2007,1
MATANZAS,16006195,07/20/2001,1
N LILLYLAKE,16010406,08/17/2011,1
COPPERAS,16008594,10/26/2006,1
Bath Fixed,16011920,07/08/2014,1
BATH CHUTE,16006440,09/13/2001,3
TOWHEAD,16012944,10/04/2016,1
MUSCOOTEN BY,16001964,07/30/1996,2
,16000514,07/06/1994,4
BEARDSTOWN,16002782,10/29/1996,1
TOWHEAD,16005741,09/08/2000,3
BIG LAKE,16011726,08/11/2014,1
PEORIA TWZ,16004749,06/18/1999,7
BIG LAKE,16005214,10/12/1999,1
,16001007,10/24/1994,6
BAR ISLAND,16004862,07/22/1999,2
TURKEY IS,16001248,08/03/1995,691
TREADWAY,16012434,08/18/2015,1
,16000796,08/31/1994,1
TREADWAY,16011789,09/23/2014,1
BATH CHUTE,16012251,10/12/2015,9
,16000468,06/22/1994,1
COON HOLLOW,16003898,06/30/1998,468
RM 150,16011253,08/19/2013,1
MUSCOOTEN,16012479,09/21/2015,1
kingstn mcb,16007326,08/12/2003,1
BATH CHUTE,16005481,07/24/2000,1
EDWARDS STA,16006467,09/17/2001,59
CRANE LAKE,16003890,06/29/1998,1
PEORIA TWZ,16004526,09/15/1998,2
TOWHEAD,16011128,09/24/2012,1
BANNER MC,16008755,07/16/2007,1
ABOVE PEKIN,16005747,09/13/2000,1
RM 153,16010448,08/15/2011,4
MATANZA LAKE,16004092,08/20/1998,1
otter creek,16007309,08/15/2003,1
liverpool,16007395,09/19/2003,1
BATH CHUTE,16009465,06/23/2009,1
BATH FIXED,16007902,09/21/2004,1
DUCK ISLAND,16008165,08/11/2005,17
CRANE LAKE,16006178,07/16/2001,1
LILY LAKE,16011610,09/26/2013,1
BATH CHUTE,16005258,10/18/1999,1
BATH CHUTE,16009020,10/15/2007,1
LILY LAKE,16013255,07/11/2017,14
BATH CHUTE,16012656,08/04/2016,1
PEORIA TWZ,16006434,09/13/2001,14
ANDERSON LK,16005004,08/25/1999,6
BATH CHUTE,16010147,09/16/2010,1
PEORIA TWZ,16003140,07/23/1997,1
BATH CHUTE,16008541,10/06/2006,1
TREADWAY,16005106,09/14/1999,2
CRANE LAKE,16007878,08/30/2004,1
RM 81,16011733,08/25/2014,1
RM 88,16013038,07/19/2017,95
LILY LAKE,16003154,07/25/1997,1
SUGAR CREEK,16005089,09/13/1999,2
CRANE LAKE,16012484,09/24/2015,2
RM 149,16012373,07/21/2015,3
GRAND IS MC,16006343,08/15/2001,3
RM 142,16010313,07/13/2011,1
BIG LAKE,16003065,07/07/1997,1
BATH CHUTE,16008859,08/08/2007,59
HAVANA,16008654,06/21/2007,1
BATH FIXED,16004890,07/28/1999,6
BEARDSTOWN,16008204,09/28/2005,1
BELOW GRAND,16008267,10/21/2005,1
TOWHEAD IS,16005552,08/03/2000,1
BATH FIXED,16007902,09/21/2004,1
,-1600027,08/13/1990,1
  BATH CHUTE,16001217,07/27/1995,4
BATH CH,16005930,10/17/2000,2
RM 108,16013596,08/09/2018,6
RM 126,16012108,07/23/2015,14
DUCK IS SCB,16013616,09/04/2018,1
RM94,16011949,08/13/2014,4
,16000796,08/31/1994,4
FREDERICK,16008197,09/27/2005,1
,-1600042,08/15/1990,1
PEORIA TWZ,16008180,08/15/2005,1
PEORIA TWZ,16004846,07/19/1999,7
,16001015,10/24/1994,2
TOWHEAD IS,16008559,10/13/2006,1
RM 133,16013164,10/17/2017,1
MATANZAS LK,16001410,09/05/1995,1
BAR ISLAND,16006869,08/13/2002,1
GRAPE ISLAND,16003264,08/07/1997,1
wood yard,16007390,09/19/2003,1
TOWHEAD IS,16002696,10/08/1996,2
MATANZAS,16004982,08/19/1999,1
MATANZAS,16004982,08/19/1999,12
LILY LAKE,16005859,10/05/2000,5
TREADWAY,16013097,09/06/2017,3
BAR ISLAND,16003356,08/29/1997,26
WOOD SL,16005700,08/29/2000,39
RM 150,16011253,08/19/2013,182
PEORIA TWZ,16004709,10/29/1998,26
MATANZAS,16008442,08/11/2006,3
,-1600560,07/09/1992,144
DUCK ISLAND,16008266,10/18/2005,1
,-1600240,07/16/1991,2
BROWNING,16003647,10/08/1997,1
MATANZAS,16002650,09/26/1996,607
LA GRANGETWZ,16001421,09/08/1995,5
GRAPE/BAR,16013333,08/23/2017,1
LA GRANGE,16005714,08/30/2000,5
AB. BROWNING,16010029,07/02/2010,286
TOWHEAD,16009942,09/21/2010,1
,16000313,09/21/1993,1
Bath Fixed,16008896,08/30/2007,1
LAMOINE MCB,16007000,09/12/2002,1
BIG LAKE,16006251,08/06/2001,1
LILLY LAKE,16010396,08/11/2011,1
CRANE LAKE,16005046,09/02/1999,3
DUCK ISLAND,16008266,10/18/2005,1
LILLY LAKE,16013171,10/19/2017,1
BATH CHUTE U,16003847,06/17/1998,2
,16000940,10/12/1994,2
TURKEY ISL,16008275,09/21/2005,1
CLEAR LAKE,16005322,06/15/2000,3
TOWHEAD,16013518,07/12/2018,47
SUGAR CREEK,16009970,10/11/2010,1
LOWER GRAND,16003863,06/19/1998,1
CRANE LAKE,16011890,06/23/2014,1
Bath Chute,16007345,08/15/2003,1
CAT DITCH,16013685,09/28/2018,1
,-1600430,10/07/1991,25
Bath Chute,16007252,07/10/2003,1
CRANE LAKE,16005872,10/10/2000,2
RM 87,16011345,09/18/2013,1
BEARDSTOWN,16001362,08/25/1995,2
TREADWAY,16012686,09/21/2016,1
,16000852,09/22/1994,10
BATH CHUTE,16006478,09/19/2001,19
81.9,16011528,09/03/2013,4
Bath Chute,16007887,09/03/2004,1
TREADWAY,16006184,07/18/2001,1
BATH CHUTE,16008858,08/08/2007,26
LAGRANGE TWZ,16006040,06/22/2001,3
  PEORIA TWZ,16001177,07/17/1995,1
DUCK ISLAND,16003580,09/25/1997,4
BATH CHUTE F,16001390,08/31/1995,1
,-1600769,09/28/1992,1
RM 133,16011901,06/27/2014,14
BAR ISLAND,16009973,10/11/2010,1
MASCOUTIN BA,16003151,07/25/1997,7
LILY LAK MCB,16006506,09/24/2001,1
TOWHEAD,16009942,09/21/2010,1
TOWHEAD,16011647,06/20/2014,1
TOWHEAD,16011647,06/20/2014,1
LA GRANGETWZ,16004684,10/19/1998,4
Edwards ST,16010144,09/03/2010,1
DUCK ISLAND,16006968,08/28/2002,12
MEYERS,16012474,09/16/2015,1
MACKINAW RIV,16010648,10/18/2011,1
BATH CHUTE,16005524,07/31/2000,2
CHAIN LK MC,16006297,08/10/2001,14
RM 151,16013403,09/28/2017,1
GRAPE ISLAND,16008659,06/22/2007,1
BIG LAKE,16005187,10/07/1999,3
RM 138,16010933,10/22/2012,4
LIVERPOOL D,16008091,08/11/2005,1
,-1600489,06/16/1992,1
LA GRANGE,16003686,10/17/1997,13
RM 149,16010647,10/18/2011,1
MATANZAS,16008750,07/13/2007,14
,-1600026,08/13/1990,1
COON HOLLOW,16011213,07/12/2013,173
CRYSTAL LAKE,16009846,10/16/2009,1
LILLY LAKE,16010929,10/18/2012,1
DUCK CREEK,16010654,10/18/2011,1
DUCK ISLAND,16010793,08/17/2012,1
LIVERPOOL,16008895,08/31/2007,1
BEARDSTOWN,16008204,09/28/2005,1
BAR ISLAND,16008221,10/03/2005,32
BATH CHUTE,16008108,08/03/2005,1
CHAIN LAKE,16012381,07/27/2015,1
PEKIN LAKE,16009911,08/12/2010,1
RM 157,16010334,07/11/2011,31
RM100,16012142,08/12/2015,3
TREADWAY,16012437,08/18/2015,1
bath chute,16007661,06/21/2004,1
Bath Fixed,16013440,07/17/2017,2
Bath Fixed,16013440,07/17/2017,3
CHAIN LAKE,16009916,08/16/2010,1
Bath Fixed,16008666,06/15/2007,2
SPRING LAKE,16005347,06/20/2000,1
NORTH OF BTW,16006582,10/04/2001,2
LIVERPOOL,16004030,08/06/1998,4
MEYERS DITCH,16013591,08/07/2018,1
TOWHEAD,16011769,09/05/2014,1
RM 135,16011951,08/14/2014,14
MATANZAS,16011757,09/02/2014,1
BEL KNGSTON,16001575,10/20/1995,1
BATH CHUTE,16006836,08/02/2002,1
BIG LAKE,16005214,10/12/1999,1
MATANZAS MC,16003941,07/09/1998,1
LAGRANGE TWZ,16004075,08/13/1998,1
,-1600644,08/19/1992,1
STEWART LK,16002993,06/17/1997,3
MATANZASLAKE,16003616,10/02/1997,1
BEARDSTOWN,16008618,09/21/2006,1
BEARDSTOWN,16008618,09/21/2006,1
TREADWAY LK,16006376,08/23/2001,2
RM100,16010747,07/02/2012,1
BATH CHUTE,16003915,07/06/1998,119
TOWHEAD,16008992,10/03/2007,1
QUIVER MCB,16002064,08/16/1996,1
MATANZAS LKE,16001284,08/07/1995,1
,-1600407,09/24/1991,23
,-1600530,06/25/1992,14
AB. BROWNING,16010030,07/02/2010,1
,-1600491,06/16/1992,1
TREADWAYLAKE,16006861,08/12/2002,7
MATANZAS,16008750,07/13/2007,2
BATH CHUTE,16012252,10/12/2015,1
CAT DITCH,16009173,10/10/2008,1
MATANZAS MCB,16003160,07/28/1997,2
SUGAR CREEK,16009427,10/03/2008,1
duck island,16007770,08/04/2004,60
COAL CREEK,16005697,08/28/2000,1
Bath Fixed,16013220,06/15/2017,1
BATH CHUTE,16006475,09/18/2001,1
Pekin Lake,16007315,08/14/2003,13
LILY LAKE,16006999,09/12/2002,6
TREADWAY,16008927,09/19/2007,1
RM 102,16013407,10/02/2017,1
BIG LAKE,16012781,06/16/2016,1
MATANZAS,16004624,10/07/1998,3
banner sc,16007261,06/20/2003,1
QUIVER LAKE,16003124,07/21/1997,10
RM 150,16011253,08/19/2013,1
BELOW BATH C,16004907,07/29/1999,24
BATH FIXED,16010401,08/15/2011,1
COAL DOCKS,16010571,10/14/2011,1
Peoria TWZ,16009892,07/07/2010,1
LIVERPOOL,16006352,08/16/2001,3
Peoria TWZ,16011452,07/22/2013,3
S OF GRAPE,16010405,08/16/2011,1
,16000869,09/29/1994,30
RM 154.5,16012310,06/17/2015,1
PEORIA TWZ,16007091,10/02/2002,1
GRAPE ISLAND,16008689,07/02/2007,1
BATH CHUTE,16012105,07/23/2015,2
BELOW BATH C,16001502,10/06/1995,1
TOWHEAD,16006104,07/06/2001,1
RM 148,16011938,08/04/2014,11
GRAPE ISLAND,16012423,08/17/2015,1
TURKEY ISLAN,16003974,07/17/1998,100
Stewart Lake,16007225,07/28/2003,1
EDWARD STATI,16009135,08/05/2008,2
CLEAR LK MC,16008194,09/26/2005,1
MCB AND LAKE,16010352,07/18/2011,75
TOWHEAD,16013395,09/26/2017,1
GRAND ISLAND,16009425,10/02/2008,1
liverpool,16007395,09/19/2003,1
CHAIN LK,16003392,09/04/1997,5
BATH CHUTE,16011595,09/24/2013,1
LAGRANGE TWZ,16005073,09/08/1999,1
BORROW ISL,16012033,09/17/2014,1
,16000169,08/06/1993,8
CAT DITCH,16004523,09/15/1998,1
LAGRANGE TWZ,16002656,09/30/1996,8
MATANZASLAKE,16003616,10/02/1997,3
BELOW HAVANA,16011110,08/20/2012,1
SUGAR CK SCB,16002671,10/03/1996,1
-,16005029,08/30/1999,1
TREADWAY,16004134,08/31/1998,1
LIVERPOOL 30,16009913,08/13/2010,1
COON HOLLOW,16003574,09/23/1997,8
Bath chute,16007334,08/15/2003,1
GRAPE/BAR,16011607,09/26/2013,1
MATANZAS,16008440,08/11/2006,15
BROWNING,16005275,10/20/1999,12
Peoria TWZ,16009982,10/20/2010,1
COON HOLLOW,16008592,10/25/2006,1
TREADWAY,16009904,08/09/2010,1
PEORIA TWZ,16002785,10/30/1996,4
GRAPE ISLAND,16006865,08/13/2002,12
BAR ISLAND,16007059,09/26/2002,7
Banner SC,16007427,09/25/2003,1
,-1600578,07/15/1992,2
BATH CH FIX,16003674,10/15/1997,1
wood yard,16007390,09/19/2003,1
,16000798,08/31/1994,1
BAR ISLAND,16012476,09/21/2015,1
BAR ISLAND,16012476,09/21/2015,1
BATH CHUTE,16008541,10/06/2006,1
COON HOLLOW,16008210,09/29/2005,1
,16000878,10/03/1994,4
RM 89,16010595,10/24/2011,1
U TREADWAY,16001346,08/22/1995,1
ANDERSON MCB,16006096,07/05/2001,664
BATH CHUTE,16011400,06/20/2013,2
BATH CHUTE,16009020,10/15/2007,1
BATH CHUTE,16013060,08/22/2017,4
LILLY LAKE,16008326,10/13/2005,1
,16000719,08/18/1994,2
,-1600824,10/13/1992,2
bath chute,16007759,08/03/2004,180
towhead,16007931,09/24/2004,1
towhead,16007931,09/24/2004,1
RM 122,16011343,09/30/2013,1
TREADWAY,16012433,08/18/2015,1
LAMOINE RV,16001364,08/25/1995,1
BELOW HAVANA,16008217,09/30/2005,2
DUCK ISLAND,16008681,06/29/2007,1
BAR ISLAND,16012071,06/23/2015,2
beardstown,16007333,08/26/2003,1
LAGRANGE TW2,16004756,06/21/1999,30
    BIG LAKE,16001169,07/17/1995,3
TREADWAY,16012437,08/18/2015,1
BATH CHUTE,16004654,10/13/1998,1
LA GRANGE TW,16002762,10/25/1996,6
LA GRANGE,16004000,07/30/1998,1
BATH CHUTE,16010590,10/25/2011,1
RM 146,16013535,07/25/2018,1
LILLY LAKE,16013573,08/06/2018,1
TOWHEAD ISL,16008195,09/26/2005,1
DUCK ISLAND,16012824,06/28/2016,1
Peoria TWZ,16012878,07/18/2016,1
,16000932,10/11/1994,3
DUCK ISLAND,16007181,10/24/2002,1
GRAND ISLAND,16006834,08/01/2002,1
SNICARTE,16003668,10/14/1997,54
SUGAR CREEK,16004139,08/31/1998,4
LILY LAKE,16013255,07/11/2017,1
lamoine riv,16007815,08/13/2004,14
BATH CHUTE,16009036,10/12/2007,1
Sugar Ck Is,16007340,09/08/2003,61
,-1600734,09/14/1992,2
MATANAZAS,16009264,08/01/2008,1
GRAPE ISLAND,16011791,09/23/2014,1
CHAIN LAKE,16005360,06/22/2000,6
DUCK ISLAND,16008264,10/18/2005,1
RM 127,16013388,09/18/2017,1
LaGrange,16009843,10/15/2009,1
MATANZAS,16004532,09/17/1998,1
S OF GRAPE,16010405,08/16/2011,1
MATANZAS,16004680,10/19/1998,1
BELOW BATH C,16009170,10/09/2008,1
BATH CHUTE,16004761,06/22/1999,1
LIVERPOOL,16008774,07/09/2007,27
BATH CHUTE,16011591,09/23/2013,1
MATANZAS,16012881,07/22/2016,3
Matanzas,16007992,10/12/2004,1
BATH CHUTE,16010402,08/15/2011,1
BATH CHUTE,16010402,08/15/2011,1
Peoria Twz,16007534,08/14/2003,1
TOWHEAD,16013165,10/17/2017,1
COAL CREEK,16005146,09/24/1999,29
,16000101,07/14/1993,1
CRANE LAKE,16012441,08/25/2015,11
BATH CHUTE,16008110,08/03/2005,2
clear lk mcb,16007394,09/19/2003,2
BATH CHUTE,16006796,07/09/2002,108
,16000746,08/23/1994,4
RM 131,16012350,07/13/2015,2
RM 110.5,16011763,09/03/2014,1
LIVERPOOL,16009223,06/19/2008,1
WORLEY LK,16004746,06/18/1999,1
RM 96,16010881,10/03/2012,1
MEYERS DITCH,16002522,08/29/1996,1
L BATH CHUTE,16003352,08/28/1997,15
COPPERAS,16009138,08/06/2008,10
LILLY LAKE,16008321,10/11/2005,3
EDWARDS STA,16004578,09/25/1998,1
PEORIA TWZ,16004635,10/07/1998,6
GRAPE/BAR,16011607,09/26/2013,1
MUSCOOTEN,16008688,07/02/2007,1
TREADWAY,16011790,09/23/2014,1
Bath fixed,16007888,09/03/2004,1
PEKIN LAKE,16005314,06/15/2000,1
LAGRANGE TWZ,16007167,10/15/2002,1
,16000624,08/01/1994,1
QUIVER LAKE,16003928,07/06/1998,1
LAGRANGE,16006389,08/29/2001,11
BAR ISLAND,16004083,08/17/1998,1
MATANZAS MC,16004659,10/14/1998,8
RM 96,16010881,10/03/2012,1
RM 136,16013326,08/22/2017,3
,-1600028,08/13/1990,1
Peoria TWZ,16011091,09/06/2012,8
Bath Fixed,16010227,10/15/2010,1
BATH CHUTE,16009014,10/15/2007,1
,16000068,07/08/1993,3
towhead,16007931,09/24/2004,1
RM 96,16010880,10/03/2012,1
TOWHEAD,16008595,10/26/2006,1
BATH CH FIX,16005715,08/30/2000,1
,16000577,07/18/1994,4
RM129,16013453,06/18/2018,1
BATH CHUTE,16008465,08/16/2006,2
BATH CHUTE,16011926,07/22/2014,5
BATH FIXED,16010291,07/06/2011,1
BATH CHUTE,16010402,08/15/2011,1
SNICARTE SLU,16004608,10/05/1998,1
TOWHEAD,16008196,09/26/2005,2
BATH CHUTE,16008541,10/06/2006,1
MC BELOW GRD,16003936,07/08/1998,2
MATANZAS,16004906,07/29/1999,11
EMIQUON LEVY,16011384,06/17/2013,1
RM 96,16012559,07/21/2016,1
BATH CHUTE,16007762,08/03/2004,2
Banner SC,16007427,09/25/2003,1
LILLY LAKE,16010396,08/11/2011,2
RM 92,16010594,10/24/2011,1
BANNER MARSH,16008428,08/07/2006,2
TOWHEAD,16009048,09/26/2007,1
LILLY LAKE,16012236,09/30/2015,1
LIVERPOOL D,16010643,10/13/2011,1
BATH CHUTE,16009816,10/09/2009,1
TOWHEAD,16006686,06/17/2002,4
BANNER,16009172,10/10/2008,1
Peoria TWZ,16008636,06/18/2007,401
Peoria TWZ,16008765,07/16/2007,1
RM 149,16013068,08/10/2017,2
TOWHEAD,16008560,10/13/2006,1
TREADWAY,16010935,10/23/2012,1
,16000821,09/14/1994,1
TOWHEAD,16012439,08/24/2015,1
BATH CHUTE,16005929,10/17/2000,1
RM 85,16013555,07/18/2018,1
bath chute,16007661,06/21/2004,1
BATH CHUTE,16009014,10/15/2007,1
PEORIA TWZ,16005477,07/21/2000,5
PEKIN LAKE,16009911,08/12/2010,1
RM 139,16011312,09/19/2013,51
RM 157,16010829,08/27/2012,1
LILY LAKE,16009513,08/13/2009,1
CHAIN LAKE,16008936,09/17/2007,1
LILLY LAKE,16006334,08/14/2001,1
BAR ISLAND,16005652,08/21/2000,1
BEEBE LAKE,16007934,09/27/2004,1
MATANZAS,16008791,08/10/2007,1
MUSCOOTEN,16005795,09/22/2000,5
LILLY LAKE,16009332,08/21/2008,15
MACKINAW MC,16008223,10/04/2005,1
,16000606,07/25/1994,1
BATH CHUTE,16011926,07/22/2014,7
BATH FIX,16006654,10/23/2001,1
COON HOLLOW,16005171,10/04/1999,1
PEORIATWZ,16005777,09/20/2000,1
LA GRANGETWZ,16003589,09/29/1997,3
CAT DITCH,16008174,08/15/2005,3
BATH CHUTE,16013092,08/30/2017,1
,16000168,08/06/1993,1
WOOD SLOUGH,16006282,08/09/2001,3
GRAPE IS,16006867,08/13/2002,2
CLEAR LK,16002991,06/16/1997,1
MATANZAS,16003417,09/08/1997,1
LIVERPOOL DT,16001212,07/25/1995,13
,16000492,06/27/1994,3
Banner SC,16007427,09/25/2003,1
RM 150,16011253,08/19/2013,6
bath fix,16007749,07/06/2004,2
QUIVER LK MC,16011456,08/02/2013,138
RM 106,16012255,10/19/2015,1
Bath Chute,16007254,07/10/2003,1
RM 105,16012546,06/24/2016,1
MATANZAS,16004124,08/27/1998,1
towhead,16008964,09/26/2007,1
RM 110.1,16010719,06/25/2012,2
Peoria TWZ,16008538,10/05/2006,1
LIVERPOOLMCB,16004032,08/06/1998,8
FREDERICK,16009228,06/20/2008,3
LAGRANGE TWZ,16004543,09/21/1998,1
FREDERICK,16008663,06/22/2007,144
TOWHEAD ISL,16006449,09/14/2001,4
BIG LAKE,16006113,07/09/2001,24
Bath Fixed,16009907,08/10/2010,7
LILY LK,16002764,10/25/1996,4
BATH CHUTE,16003351,08/28/1997,15
BATH FIXED,16006832,08/01/2002,1
MATANZAS,16004620,10/06/1998,3
CHAIN LAKE,16009389,09/22/2008,1
MATANZAS,16008792,08/10/2007,1
BATH CHUTE,16001112,06/28/1995,26
ABOVE BROWN,16008144,08/17/2005,1
WOODYARD,16009890,07/07/2010,31
LAGRANGE TWZ,16004723,10/30/1998,1
Peoria TWZ,16009958,09/27/2010,1
TOWHEAD ISL,16008195,09/26/2005,1
banner sc,16007428,09/25/2003,1
RM 130,16013386,09/18/2017,1
Copperas Cr,16009976,10/18/2010,3
,-1600020,08/06/1990,1
QUIVER LAKE,16009727,08/26/2009,1
,-1600844,10/19/1992,2
MCB BELOW BC,16001396,08/31/1995,249
TREADWAY,16004994,08/23/1999,4
TOWHEAD IS,16005615,08/15/2000,1
BATH CHUTE,16006442,09/13/2001,4
BATH CHUTE,16003932,07/07/1998,1
SUGAR CK MC,16004864,07/22/1999,5
PEKIN LAKE,16009911,08/12/2010,1
BATH CH FIX,16008018,10/13/2004,1
Bath Chute,16007345,08/15/2003,1
U BATH CHUTE,16002075,08/20/1996,1110
U BATH CHUTE,16002075,08/20/1996,83
LAGRANGE TWZ,16006559,10/03/2001,4
BATH CHUTE,16011595,09/24/2013,1
MEYERS DITCH,16013666,09/27/2018,1
CAT DITCH,16013685,09/28/2018,1
CLEAR LAKE,16012695,09/22/2016,1
RM 126,16012132,08/05/2015,1
RM 98,16012725,10/07/2016,1
Peoria TWZ,16008894,08/31/2007,1
Bath Fixed,16011454,08/01/2013,2
COPPERAS,16008593,10/26/2006,1
LAGRANGE TWZ,16001537,10/13/1995,3
MATANZAS,16012883,07/22/2016,1
Peoria TWZ,16012137,08/10/2015,2
,16000993,10/20/1994,1
GRAND ISL,16003353,08/28/1997,18
GRAND ISL,16003353,08/28/1997,13
U BATH CHUTE,16001498,10/06/1995,5
BATH FIXED,16005779,09/20/2000,1
BATH CHUTE,16010486,08/03/2011,9
Peoria TWZ,16012990,10/28/2016,1
GRAPE ISLAND,16003104,07/14/1997,1
,16000493,06/28/1994,1
Towhead Is,16007429,10/10/2003,34
RM 95.5,16012453,08/31/2015,1
BATH CHUTE,16006763,07/01/2002,73
RM 138,16010933,10/22/2012,1
BATH CHUTE,16009132,08/04/2008,14
TREADWAY,16008385,08/14/2006,1
CHAUTAUQUA,16008193,09/26/2005,1
RM 124,16011631,10/09/2013,23
RM 98,16012725,10/07/2016,1
ANDERSON,16008793,08/10/2007,9
LAGRANGE,16006644,10/18/2001,3
LAGRANGE,16006644,10/18/2001,1
Peoria TWZ,16012917,08/11/2016,2
BEARDSTOWN,16008617,09/21/2006,1
PANTHER SL,16013330,08/21/2017,2
PANTHER SL,16013330,08/21/2017,1
SPRING LAKE,16007099,10/02/2002,1
crane lake,16007638,06/15/2004,1
CHAIN LAKE,16008924,09/17/2007,1
MATANZAS,16012232,09/29/2015,1
,16000316,09/23/1993,1
TREADWAY,16013479,06/26/2018,10
BATH CH FIX,16005755,09/14/2000,3
,16000715,08/17/1994,5
TOWHEAD,16008148,08/05/2005,13
BATH CHUTE,16011926,07/22/2014,1
CHAUT SPILLW,16004031,08/06/1998,2
LILY LK,16005093,09/13/1999,1
COON HOLLOW,16005140,09/23/1999,1
CHAIN LK MC,16006549,10/01/2001,7
BATH CHUTE,16005009,08/26/1999,20
CRANE LAKE,16012484,09/24/2015,1
RM 81,16011734,08/26/2014,1
MATANZAS,16008116,08/15/2005,1
LILY LAKE,16003629,10/06/1997,1
,16000783,08/29/1994,1
DUCK ISLAND,16008167,08/11/2005,4
,-1600820,10/07/1992,1
CRANE LAKE,16005039,09/02/1999,2
CHAIN LAKE,16003311,08/18/1997,5
BATH CHUTE,16008898,08/30/2007,1
RM126,16011918,07/07/2014,16
TREADWAY,16005439,07/14/2000,1
MATANZAS,16010390,08/10/2011,1
BATH CHUTE,16009213,06/16/2008,1
,-1600050,08/22/1990,1
LAGRANGE TWZ,16006996,09/12/2002,1
TREADWAY,16013169,10/19/2017,2
SUGAR CREEK,16013703,10/02/2018,1
UPPER DUCK L,16013857,09/26/2018,1
,16000769,08/26/1994,4
BATH CHUTE,16010148,09/16/2010,1
,16001024,10/25/1994,1
BAR ISLAND,16010017,06/28/2010,1
LAKE PEKIN,16012685,09/20/2016,1
matanzas lk,16011021,07/23/2012,1
RM 133,16011117,09/19/2012,1
Bath Fixed,16009249,07/07/2008,29
TREADWAY LAK,16008912,08/14/2007,11
CRYSTAL LK,16005047,09/02/1999,2
,16000538,07/11/1994,1
TURKEY,16009992,06/15/2010,1
BANNER,16009039,10/02/2007,1
CLEAR LAKE,16010245,06/16/2011,1
crane lake,16007637,06/15/2004,1
BELOW BATH,16006058,06/25/2001,8
RM 110.5,16012314,06/18/2015,1
Banner SC,16007427,09/25/2003,1
RM 96,16010881,10/03/2012,1
TOWHEAD SC,16006319,08/13/2001,10
MEYERS DITCH,16008097,08/11/2005,3
BATH CHUTE,16009132,08/04/2008,36
QUIVER LAKE,16006531,09/27/2001,1
U TREADWAY,16003667,10/14/1997,1
RM 108,16011831,10/16/2014,1
CLEAR LAKE,16006716,06/21/2002,1
Peoria TWZ,16011760,09/02/2014,1
PEORIA TWZ,16001291,08/07/1995,1
L TREADWAY,16001360,08/25/1995,1
BATH FIXED,16010391,08/10/2011,1
LIVERPOOL D,16010632,10/24/2011,1
SUGAR CREEK,16004567,09/24/1998,1
BATH CHUTE,16002771,10/28/1996,1
PEORIA TWZ,16008180,08/15/2005,1
BAR ISLAND,16011911,06/30/2014,4
MEYERS DITCH,16006350,08/16/2001,1
above fredrk,16007814,08/13/2004,1
LILLY LAKE,16013036,07/19/2017,1
Bath Fixed,16011031,08/08/2012,1
Bath Fixed,16010714,06/25/2012,1
BATH CHUTE,16009014,10/15/2007,1
RM 126,16012783,06/17/2016,2
LILY LAKE,16012426,08/17/2015,1
BIG LAKE,16011481,08/12/2013,1
TOWHEAD,16008427,08/04/2006,43
CRANE LK,16004601,10/01/1998,36
LA GRANGE TW,16002762,10/25/1996,1
TOWHEAD,16012582,08/05/2016,1
,16000340,09/30/1993,62
PEORIA TWZ,16005665,08/23/2000,6
LIVERPOOL DI,16011364,10/17/2013,1
BIG LAKE,16011188,06/28/2013,1
PEORIA TWZ,16003718,10/22/1997,4
BATH CHUTE F,16003920,07/06/1998,43
RM 142,16010313,07/13/2011,1
RM 105,16010377,08/02/2011,5
RM 108,16013596,08/09/2018,1
,16000905,10/03/1994,2
RM 110,16013722,10/08/2018,1
COPPERAS CK,16008430,08/07/2006,95
CAT DITCH,16008174,08/15/2005,1
,-1600851,10/20/1992,1
MACKINAW MC,16008223,10/04/2005,1
BAR ISLAND,16012476,09/21/2015,1
RM 88,16013038,07/19/2017,2
muscootenbay,16007621,10/14/2003,1
MATANZAS,16003411,09/08/1997,5
bath fix,16007760,08/03/2004,1
BIG LAKE,16005801,09/25/2000,4
BIG LAKE,16009560,09/21/2009,1
ALT FOR D25,16009969,10/07/2010,1
BATH CHUTE,16005010,08/26/1999,1
,-1600007,07/26/1990,1
BATH CHUTE,16004074,08/13/1998,2
BATH FIX,16008109,08/03/2005,1
LAGRANGE TWZ,16005913,10/12/2000,2
CHAIN LAKE,16003313,08/18/1997,18
SNICARTE SLU,16003978,07/20/1998,8
BEARDSTOWN,16008687,07/02/2007,1
BATH CH FIX,16005008,08/26/1999,2
COON HOLLOW,16005012,08/27/1999,1
MEYERS DITCH,16013373,09/05/2017,1
U TREADWAY,16003665,10/14/1997,15
SNICARTE SL,16007117,10/03/2002,1
copperas,16007654,06/17/2004,1
BAR ISLAND,16011911,06/30/2014,9
,-1600631,08/12/1992,1
,16000066,07/08/1993,1
Kingston Min,16010682,06/15/2012,2
Powerton,16007306,08/14/2003,224
TOWHEAD,16011344,09/30/2013,1
RM 111,16012540,10/26/2015,1
GRAPE ISLAND,16012239,09/30/2015,1
TREADWAY,16007809,08/13/2004,3
EDWARDS,16004953,08/13/1999,52
DUCK ISLAND,16008167,08/11/2005,8
WOOD SL,16005700,08/29/2000,20
BATH CHUTE,16011595,09/24/2013,1
Peoria TWZ,16011716,08/11/2014,1
