"","length_class","length_class_label","n()"
"1",1,"60-90",31
"2",2,"90-120",302
"3",3,"120-150",278
"4",4,"150-180",41
"5",5,"180-210",65
"6",6,"210-240",38
"7",7,"240-270",25
"8",8,"270-300",26
"9",9,"300-330",14
"10",10,"330-360",6
"11",11,"360+",1
