"","length_class","length_class_label","n()"
"1",1,"60-90",27
"2",2,"90-120",59
"3",3,"120-150",14
"4",4,"150-180",67
"5",5,"180-210",34
"6",6,"210-240",4
"7",7,"240-270",2
"8",9,"300-330",1
