year,length_min,count
2002,60,27
2002,90,59
2002,120,14
2002,150,67
2002,180,34
2002,210,4
2002,240,2
2002,270,0
2002,300,1
2002,330,0
2002,360,0
2005,60,31
2005,90,302
2005,120,278
2005,150,41
2005,180,65
2005,210,38
2005,240,25
2005,270,26
2005,300,14
2005,330,6
2005,360,1
